YYYY-MM-DD,hh:mm, Original, Calculated, Flag
1935/9/1,--:--,9336,-999,0
1935/10/1,--:--,6421,-999,0
1935/11/1,--:--,2901,-999,0
1935/12/1,--:--,1848,-999,0
1936/1/1,--:--,1474,-999,0
1936/2/1,--:--,1053,-999,0
1936/3/1,--:--,832,-999,0
1936/4/1,--:--,682,-999,0
1936/5/1,--:--,645,-999,0
1936/6/1,--:--,694,-999,0
1936/7/1,--:--,2326,-999,0
1936/8/1,--:--,7467,-999,0
1936/9/1,--:--,9837,-999,0
1936/10/1,--:--,5824,-999,0
1936/11/1,--:--,2658,-999,0
1936/12/1,--:--,1568,-999,0
1937/1/1,--:--,1183,-999,0
1937/2/1,--:--,785,-999,0
1937/3/1,--:--,616,-999,0
1937/4/1,--:--,559,-999,0
1937/5/1,--:--,522,-999,0
1937/6/1,--:--,694,-999,0
1937/7/1,--:--,1807,-999,0
1937/8/1,--:--,8064,-999,0
1937/9/1,--:--,9182,-999,0
1937/10/1,--:--,5040,-999,0
1937/11/1,--:--,2233,-999,0
1937/12/1,--:--,1609,-999,0
1938/1/1,--:--,1250,-999,0
1938/2/1,--:--,863,-999,0
1938/3/1,--:--,825,-999,0
1938/4/1,--:--,644,-999,0
1938/5/1,--:--,548,-999,0
1938/6/1,--:--,617,-999,0
1938/7/1,--:--,1687,-999,0
1938/8/1,--:--,8885,-999,0
1938/9/1,--:--,10416,-999,0
1938/10/1,--:--,7392,-999,0
1938/11/1,--:--,3414,-999,0
1938/12/1,--:--,1963,-999,0
1939/1/1,--:--,1538,-999,0
1939/2/1,--:--,1306,-999,0
1939/3/1,--:--,873,-999,0
1939/4/1,--:--,825,-999,0
1939/5/1,--:--,828,-999,0
1939/6/1,--:--,837,-999,0
1939/7/1,--:--,1579,-999,0
1939/8/1,--:--,5227,-999,0
1939/9/1,--:--,7098,-999,0
1939/10/1,--:--,4629,-999,0
1939/11/1,--:--,2924,-999,0
1939/12/1,--:--,1627,-999,0
1940/1/1,--:--,1179,-999,0
1940/2/1,--:--,830,-999,0
1940/3/1,--:--,933,-999,0
1940/4/1,--:--,706,-999,0
1940/5/1,--:--,504,-999,0
1940/6/1,--:--,597,-999,0
1940/7/1,--:--,1280,-999,0
1940/8/1,--:--,6048,-999,0
1940/9/1,--:--,7021,-999,0
1940/10/1,--:--,3643,-999,0
1940/11/1,--:--,1651,-999,0
1940/12/1,--:--,1116,-999,0
1941/1/1,--:--,1508,-999,0
1941/2/1,--:--,752,-999,0
1941/3/1,--:--,802,-999,0
1941/4/1,--:--,644,-999,0
1941/5/1,--:--,429,-999,0
1941/6/1,--:--,744,-999,0
1941/7/1,--:--,1653,-999,0
1941/8/1,--:--,4965,-999,0
1941/9/1,--:--,5825,-999,0
1941/10/1,--:--,4144,-999,0
1941/11/1,--:--,2866,-999,0
1941/12/1,--:--,1489,-999,0
1942/1/1,--:--,1116,-999,0
1942/2/1,--:--,859,-999,0
1942/3/1,--:--,948,-999,0
1942/4/1,--:--,972,-999,0
1942/5/1,--:--,675,-999,0
1942/6/1,--:--,740,-999,0
1942/7/1,--:--,2034,-999,0
1942/8/1,--:--,8363,-999,0
1942/9/1,--:--,8101,-999,0
1942/10/1,--:--,5413,-999,0
1942/11/1,--:--,2129,-999,0
1942/12/1,--:--,1422,-999,0
1943/1/1,--:--,1131,-999,0
1943/2/1,--:--,764,-999,0
1943/3/1,--:--,933,-999,0
1943/4/1,--:--,856,-999,0
1943/5/1,--:--,601,-999,0
1943/6/1,--:--,601,-999,0
1943/7/1,--:--,1224,-999,0
1943/8/1,--:--,4480,-999,0
1943/9/1,--:--,9375,-999,0
1943/10/1,--:--,4816,-999,0
1943/11/1,--:--,2349,-999,0
1943/12/1,--:--,1978,-999,0
1944/1/1,--:--,996,-999,0
1944/2/1,--:--,678,-999,0
1944/3/1,--:--,959,-999,0
1944/4/1,--:--,945,-999,0
1944/5/1,--:--,672,-999,0
1944/6/1,--:--,821,-999,0
1944/7/1,--:--,1937,-999,0
1944/8/1,--:--,6832,-999,0
1944/9/1,--:--,7137,-999,0
1944/10/1,--:--,4517,-999,0
1944/11/1,--:--,1944,-999,0
1944/12/1,--:--,1359,-999,0
1945/1/1,--:--,974,-999,0
1945/2/1,--:--,777,-999,0
1945/3/1,--:--,1026,-999,0
1945/4/1,--:--,879,-999,0
